URL,Nor/Mal,has_ip,long_url,is_shortened,has_at_symbol,has_double_slash,has_dash,subdomain_count,is_https,domain_reg_length,has_favicon,non_standard_port
http://ghcvx.pinb.hair,1,0,22,1,0,0,0,1,0,1,1,0
http://bit.ly/3MLcWVU,1,0,21,1,0,0,0,0,0,2,0,0
nkp.ilogenong.com/,1,0,18,1,0,0,0,-1,0,1,1,0
smi.ilogenong.com/,1,0,18,1,0,0,0,-1,0,2,1,1
smi.ilogenong.com/,1,0,18,1,0,0,0,-1,0,2,0,0
smi.ilogenong.com/,1,0,18,1,0,0,0,-1,0,3,0,0
https://c11.kr/18zh1,1,0,20,1,0,0,0,0,1,3,1,1
nkp.ilogenong.com/,1,0,18,1,0,0,0,-1,0,2,0,0
http://ghfdfb.ysbn.quest,1,0,24,1,0,0,0,1,0,3,0,0
http://in05.t8ph.wtf,1,0,20,1,0,0,0,1,0,1,0,1
http://vdw.ilogenis.com,1,0,23,1,0,0,0,1,0,2,0,0
nkp.ilogenong.com/,1,0,18,1,0,0,0,-1,0,3,0,1
kso.ilogenski.com/,1,0,18,1,0,0,0,-1,0,1,0,1
kso.lotteglogins.com/,1,0,21,1,0,0,0,-1,0,2,1,1
cls.ilogensims.com/,1,0,19,1,0,0,0,-1,0,2,1,0
kso.ilogenski.com/,1,0,18,1,0,0,0,-1,0,1,0,1
https://c11.kr/1975j,1,0,20,1,0,0,0,0,1,1,0,0
kms.ilogenski.com/,1,0,18,1,0,0,0,-1,0,3,0,0
https://bit.ly/3FBTJni,1,0,22,1,0,0,0,0,1,4,1,1
http://jtfvb.puth.agency,1,0,24,1,0,0,0,1,0,4,1,1
http://hrd3.nksh.beauty,1,0,23,1,0,0,0,1,0,4,0,0
http://www.cjlogisticss.com/8hzuf0,1,0,34,1,0,0,0,1,0,3,0,0
skm.ilogenonk.com/,1,0,18,1,0,0,0,-1,0,3,0,1
skm.ilogenonk.com/,1,0,18,1,0,0,0,-1,0,1,1,0
skm.ilogenonk.com/,1,0,18,1,0,0,0,-1,0,2,0,0
https://c11.kr/195x9,1,0,20,1,0,0,0,0,1,4,1,1
mkg.ilogekonk.com/,1,0,18,1,0,0,0,-1,0,3,1,1
snk.ilogendn.com/,1,0,17,1,0,0,0,-1,0,4,1,1
mkg.ilogekonk.com/,1,0,18,1,0,0,0,-1,0,2,1,1
https://han.gl/ydwJH,1,0,20,1,0,0,0,0,1,1,1,0
smi.ilogenong.com/,1,0,18,1,0,0,0,-1,0,1,0,1
http://c01.sowp.pics,1,0,20,1,0,0,0,1,0,2,0,1
http://m01.yup3.pics,1,0,20,1,0,0,0,1,0,3,0,0
http://c02.sowp.pics,1,0,20,1,0,0,0,1,0,4,1,0
http://c01.sowp.pics,1,0,20,1,0,0,0,1,0,1,1,0
http://m01.yup3.pics,1,0,20,1,0,0,0,1,0,4,1,0
https://han.gl/RrdbA,1,0,20,1,0,0,0,0,1,3,1,1
http://b12.k2wt.black,1,0,21,1,0,0,0,1,0,3,0,0
http://hgrcex.zuex.hair,1,0,23,1,0,0,0,1,0,3,0,1
http://s07.sowp.pics,1,0,20,1,0,0,0,1,0,2,1,0
http://bit.ly/3bNvk0c,1,0,21,1,0,0,0,0,0,2,0,0
http://han.gl/GHMzb,1,0,19,1,0,0,0,0,0,1,0,1
https://km.msso.top,1,0,19,1,0,0,0,1,1,1,1,1
http://vds.ilogenis.com,1,0,23,1,0,0,0,1,0,3,0,0
http://mjlbz.jurmw.com,1,0,22,1,0,0,0,1,0,1,0,1
https://han.gl/GBGVi,1,0,20,1,0,0,0,0,1,2,0,1
kop.ilogekonk.com/,1,0,18,1,0,0,0,-1,0,1,1,0
http://bit.ly/3IQS1Ax,1,0,21,1,0,0,0,0,0,1,0,0
nkp.ilogenong.com/,1,0,18,1,0,0,0,-1,0,1,1,1
http://bit.ly/39Z2OeU,1,0,21,1,0,0,0,0,0,2,0,1
https://han.gl/BJMwv,1,0,20,1,0,0,0,0,1,4,0,1
https://han.gl/ZjeBr,1,0,20,1,0,0,0,0,1,4,1,0
skn.ilogenmsi.com/,1,0,18,1,0,0,0,-1,0,3,0,1
bsk.ilogenbs.com/,1,0,17,1,0,0,0,-1,0,1,0,0
bsk.ilogenbs.com/,1,0,17,1,0,0,0,-1,0,4,1,1
http://gfhr.wunrx.quest,1,0,23,1,0,0,0,1,0,2,1,0
bsk.ilogenbs.com/,1,0,17,1,0,0,0,-1,0,4,1,1
msk.ilogenbs.com/,1,0,17,1,0,0,0,-1,0,3,1,1
http://han.gl/ITWPA,1,0,19,1,0,0,0,0,0,1,1,1
xoa.op2n.gold,1,0,13,1,0,0,0,-1,0,2,0,1
http://bit.ly/3AMYwSN,1,0,21,1,0,0,0,0,0,1,0,0
msk.ilogenbs.com/,1,0,17,1,0,0,0,-1,0,2,1,1
gmk.ilogenkdon.com,1,0,18,1,0,0,0,-1,0,1,1,0
gmk.ilogenkdon.com/,1,0,19,1,0,0,0,-1,0,3,0,1
msk.ilogenbs.com/,1,0,17,1,0,0,0,-1,0,1,0,0
gmk.ilogenkdon.com/,1,0,19,1,0,0,0,-1,0,3,1,0
gmk.ilogenkdon.com/,1,0,19,1,0,0,0,-1,0,2,1,0
http://sm.munjoskm.top/kgho,1,0,27,1,0,0,0,1,0,1,1,0
http://vdw.ilogenis.com,1,0,23,1,0,0,0,1,0,2,0,0
bit.ly/3Uf5dnH,1,0,14,1,0,0,0,-1,0,2,1,1
bit.ly/,1,0,7,1,0,0,0,-1,0,2,1,1
mgk.ilogenkdon.com/,1,0,19,1,0,0,0,-1,0,4,0,1
bsk.ilogenbs.com/,1,0,17,1,0,0,0,-1,0,2,1,0
bc.ilogenci.com/,1,0,16,1,0,0,0,-1,0,1,0,1
mgk.ilogenkdon.com/,1,0,19,1,0,0,0,-1,0,4,0,0
bsk.ilogenbs.com/,1,0,17,1,0,0,0,-1,0,2,0,0
bc.ilogenci.com/,1,0,16,1,0,0,0,-1,0,1,0,1
gs.ilogenci.com,1,0,15,1,0,0,0,-1,0,1,1,0
gs.ilogenci.com/,1,0,16,1,0,0,0,-1,0,3,0,0
bc.ilogenci.com/,1,0,16,1,0,0,0,-1,0,2,1,1
bc.ilogenci.com/,1,0,16,1,0,0,0,-1,0,3,1,0
msk.ilogenbs.com,1,0,16,1,0,0,0,-1,0,1,0,1
bsk.ilogenbs.com/,1,0,17,1,0,0,0,-1,0,3,0,1
bkm.ilogenkdo.com/,1,0,18,1,0,0,0,-1,0,3,1,0
bkm.ilogenkdo.com/,1,0,18,1,0,0,0,-1,0,3,0,0
bo.ilogenci.com/,1,0,16,1,0,0,0,-1,0,3,0,0
gmk.ilogenkdon.com/,1,0,19,1,0,0,0,-1,0,1,1,0
http://gdbe.xvys.hair,1,0,21,1,0,0,0,1,0,3,0,1
kgs.ilogenkdon.com/,1,0,19,1,0,0,0,-1,0,1,0,0
https://c11.kr/1ak6y,1,0,20,1,0,0,0,0,1,4,1,1
https://c11.kr/1ak6y¿Ü,1,0,22,1,0,0,0,0,1,4,1,0
https://c11.kr/1ak6y,1,0,20,1,0,0,0,0,1,2,1,0
https://c11.kr/1ak6y,1,0,20,1,0,0,0,0,1,2,0,1
http://hj767j6.oeicv.kr,1,0,23,1,0,0,0,1,0,4,1,0
http://ikop.jdtr.beauty,1,0,23,1,0,0,0,1,0,4,1,0
